original,original_token_count,compressed,compressed_token_count,uncompressed_alt_one,uncompressed_alt_two
"Given this plot summary from The Night Buffalo, what caused Manuel to discover these occurrences caused by his late friend?",24,,,,
"Stevens Pass vs Whistler Blackcomb, which is better? Why?",18,,,,
How to survive Chicago winter?,6,,,,
"Which of these are indoor and outdoor games: badminton, cricket, basketball, football, kho-kho, golf",26,,,,
Why do humans play sports?,6,,,,
"Identify which car manufacturer is French or American: Bugatti, GMC, Dodge",17,,,,
"Based on this paragraph, give me a summary of what a kidney donor chain is.",19,,,,
What's your favorite baseball team?,8,,,,
"Classify these MLB teams as either National League or American League teams: New York Mets, St. Louis Cardinals, Los Angeles Dodgers, Arizona Diamondbacks, Tampa Bay Rays, New York Yankees, Houston Astros, Oakland A's",54,,,,
What are the words of House Oakheart?,10,,,,
What are some landlocked states?,7,,,,
When did the Great Chicago Fire occur?,8,,,,
Give me a list of the 10 most recent winners of the Men's Boat Race between Oxford and Cambridge.,23,,,,
Name some famous actors in the 1940's,9,,,,
Who is J.K.Rowling?,10,,,,
What is the sun made of?,7,,,,
"Given this paragraph on Macquarie University Real Tennis Club, please tell me how many tennis courts the club had.",23,,,,
What are financial instruments?,5,,,,
What are the majors in men's professional golf?,12,,,,
how does the water cycle work?,7,,,,
From the passage identify the places where Bacteria inhabits. Display the results in comma separated format.,24,,,,
Which letters denote Jesus Nazareth King of the Jews,13,,,,
How many moons orbit Jupiter and what are the names of the most significant ones?,17,,,,
How did Constantine die?,6,,,,
What is the Gun Show in New Zealand,8,,,,
"Which of these terms are used in baseball and which are used in football: touchdown, home run, walk, first down, line drive, interception, strike out, offsides, holding, balk.",43,,,,
Tell me about cockney rhyming slang,15,,,,
Who was given the Booker Prize 2020?,9,,,,
Which author created Fu Manchu,6,,,,
"Find the bird in this list: Aquatic warbler, Tiger, Shark",16,,,,
Why does it feel so hot in Houston?,9,,,,
"Im going to the beach, which of these things should I avoid bringing?  Sunglasses, towel, beachball, kite, refrigerator, cooler, and portable chairs.",37,,,,
"Identify the musical interval (e.g perfect fifth, major third) associated with the following pairs of notes: 
C-G 
G-B
E-A
C-Fsharp
Eflat-C
D-Csharp
B-F",51,,,,
How was the Iraqi embassy in Beirut destroyed?,12,,,,
Extract the countries that are named in the text separated by a comma.,18,,,,
Please write a socia media post about why Leo Messi is the best soccer player in the world.,24,,,,
"Classify each as a ocean, sea, or lake: Pacific, Mediterranean, Erie, Atlantic, Dead Sea, Black, Michigan",28,,,,
Who starred as Rocky Balboa,9,,,,
How can technology be used to address challenges in the healthcare industry?,13,,,,
What are some songs from the Beatles' White Album that you'd recommend listening to?,18,,,,
"Given this paragraph about the founding of Tesla, who was the chairman of the board of directors as of March 2004?",23,,,,
Which of Dany's dragons is the largest?,12,,,,
What is the best soccer club in history?,9,,,,
How did Jon Rahm win the Farmers Insurance Open?,11,,,,
Which is a species of fish? Noodlefish or Noodle,14,,,,
Tell me about Potrerillos,8,,,,
Which is a species of fish? Vendace or Venice,13,,,,
What cause did the Suffragettes advance?,10,,,,
"What is the difference between mean, mode, and median?",12,,,,
Who is the Chinese Li Xueju,10,,,,
"Which things are typically hot and which are cold: an icicle, a snowball, lava, a cat, tea, a meat locker, summer on the east coast of the United States, a sauna and a Bikram yoga.",55,,,,
Write a Shakespearean sonnet about calculus,10,,,,
"Given a reference text about Shivaji, tell me when they were born, when they died, what their most notable accomplishment and what people called them post-death.",37,,,,
What are other names used for Good Friday?,9,,,,
"Given this paragraph, explain who Robert Kiyosaki is?",14,,,,
How do I know it is the spring season?,10,,,,
Give me a brief about Manchester City,8,,,,
What are the words of House Caron?,9,,,,
What are the four major subregions in Central Otago?,14,,,,
Write a paragraph to convince someone to visit Porto Portugal.,13,,,,
"Given a reference text about spaghetti, what shape is it, where did it originate, and are there any variations of it?",26,,,,
"Classify each of the following as either a vegetarian option or not: chicken fried rice, green beans, strawberry banana smoothie, oatmeal, steak, scrambled eggs",36,,,,
Is it worth buying a multi-unit property as a first-time home buyer?,20,,,,
Why is Pickleball a popular sport?,10,,,,
Describe some different ways to stop your car from being stolen?,13,,,,
"Identify which animal species is alive or extinct: Megatherium, Sri Lankan Elephant",19,,,,
"From the passage provided, extract the  population of Seattle metropolitan area",12,,,,
"Identify which animal species is alive or extinct: Quagga, Beluga",18,,,,
"From the passage provided, extract the names of elementary particles and arrange them in alphabetical order",18,,,,
From the passage note down the various streaming services which are supported by Alexa. List the results in comma separated format.,27,,,,
"Which of these are woodworking handtools: plane, spokeshave, drill, table saw, chisel, bandsaw",29,,,,
"Given this paragraph about Fyre Festival, would you say that it was a successful event?",20,,,,
"Given the reference text below the eruption of Mount Vesuvius, how high was the mountain after the disaster?",24,,,,
Snow or Desert,3,,,,
"Classify the following hikes in terms of difficulty: Half dome in Yosemite, Mt Everest in Nepal, Mission Peak in California",31,,,,
Provide a list of names for an inspiring exotic dancer,12,,,,
What is the difference between meiosis and mitosis,15,,,,
"Imagine you are a mom. Write a talk track for convince your young son, who does not want to stop playing, to leave for school.",31,,,,
How is Tesla's approach to full autonomy is different from the other companies?,16,,,,
What are the words of House Tarly?,9,,,,
Why do firms advertise? Even when goods are interchangeable?,12,,,,
What does Lady Gaga affectionately call her fans?,12,,,,
"Given a reference text about Britney Spears, tell me when they were born and why they are famous.",23,,,,
"Given a reference text about James Henry Richards, tell me what sport he played, where he was born and where he died.",30,,,,
What is the most known picture from Dorothea Lange,13,,,,
Write a letter to your Mom and Dad asking whether or not I can study abroad during my Junior year in college.,24,,,,
"Which of the following are companies that sell sports apparel? Nike, adidas, Energizer, Logitech, Dell, Saucony",28,,,,
"Given a reference text about In the House, when was it originally on TV and what channel played it?",22,,,,
Is PM Modi is honest,7,,,,
Based on the following passage summarise how electricity became a driving force during the second industrial revolution.,22,,,,
Which state is named in the passage?,8,,,,
Classify these animals as either a reptile or an amphibian,15,,,,
"Given this paragraph about heart, for how many deaths (in %) as of 2008 do cardiovascular diseases account for?",23,,,,
"Given this paragraph, what is the recommended daily value of magnesium for women in the UK?",18,,,,
"Tell me whether these are airplanes or boats : Cessna, Regal, Sunray, Learjet, Airbus, Jetski, Boeing, Cirrus, Mooney and Zodiac.",43,,,,
Can you make a list of some cities I could visit in Spain?,15,,,,
what are the benefits of reading to your children?,10,,,,
Name the popular children’s books by Roald Dahl.,13,,,,
"Which is an imperial or a metric measurement: pound, stone, kilogram",18,,,,
Who directed the most episodes of season five of Game of Thrones?,13,,,,
Why do the Dutch wear Orange?,7,,,,
Who created the tech company Apple?,7,,,,
Extract the names of the editors of Transportation Research Part D. Separate them with a comma.,23,,,,
Name the main crochet stitches,5,,,,
"Given this paragraph about the 2011 NBA Finals, who won the championship and the NBA Finals Most Valuable Player award?",26,,,,
"Given a reference text about Tom Brady, tell me when they were born and what they are famous for.",22,,,,
What college did David Gilhooly go to?,12,,,,
What does IHAC mean?,7,,,,
Who is Sergey or Sergiy Korsunsky,11,,,,
What are the benefits of working with a coach?,11,,,,
What are the words of House Swygert?,11,,,,
Why wasn't the Treaty of Versailles effective?,11,,,,
What is the best electrical system for RVs?,10,,,,
Where is Bogota located?,7,,,,
Extract who was Karl Lagerfeld,6,,,,
Which is the albino direwolf in Game of Thrones?,13,,,,
Which City in San Diego County is considered a great place to live and raise a family?,20,,,,
What is the best nightly skin care routine?,10,,,,
Jot down some points about University of Liverpool from given text,12,,,,
"Identify which instrument is string or percussion: Madal, Craviola",17,,,,
"Which of the following are exercise equipment: bicycle, book, dumbbell, treadmill, spoon, television",20,,,,
"Given a reference text about Pampaneira, tell me how many people live there, where it's located, and its elevation above sea level.",31,,,,
How can Bernoulli's principle be derived from Newton's second law of motion?,21,,,,
Please explain how a perpetrator's state of mind is relevant to guilt in committing a crime,22,,,,
Give step by step instructions on how to make a Long Island Ice Tea.,16,,,,
Provide a list of superpower you wish you had,11,,,,
Tell me some points about Foljk music using the given paragraph as a reference,17,,,,
What is the supreme law of the land?,10,,,,
Imagine you are an immortal being at the heat death of the universe.,14,,,,
I'm going camping and want to treat river water to drink. What are three options I can use?,22,,,,
How can I run Spark on a cluster?,10,,,,
What are 5 unique recipes for any kind of potatoes?,11,,,,
What is the difference between a research university and a liberal arts college?,16,,,,
How can I become more active and do more exercise?,11,,,,
