"original","summarization","original_token_count","compression_token_count","compression_ratio"
"Given a reference text about Ingwelala, tell me which game farms are on the reserve.","From Ingwelala reference text, list the reserve's game farms.","19","14","0.74"
"Do archaeologists dig up dinosaurs?","Do archaeologists dig up dinosaurs?","7","7","1.0"
"How many triangles can be formed with 6 matchsticks of equal size without breaking or overlapping them?","How many triangles can 6 equal-length matchsticks form without breaking or overlapping?","20","16","0.8"
"Why is the sky blue?","Why is the sky blue?","6","6","1.0"
"How do government control inflation?","How do government control inflation?","6","6","1.0"
"Name every month that has 30 days","Name all 30-day months.","8","7","0.88"
"Identify the bird from the list: Black mamba, Black grouse, Black magic","Identify the bird from Black mamba, Black grouse, Black magic.","17","15","0.88"
"What area in Washington is best known for its wine production?","Which Washington area is best known for wine production?","12","10","0.83"
"What's the differences of the Wing Chun kongfu and the traditional Shaolin Kongfu?","Differences between Wing Chun and traditional Shaolin Kung Fu?","17","12","0.71"
"Tell me some point by point details about Art Deco using given text as a reference","Art Deco: point-by-point details, reference provided text.","16","12","0.75"
"From the passage mention the different verticals in which SoftBank Group Corp. invests in. Display the results in comma separated format.","From the passage, list the verticals SoftBank Group Corp. invests in; output comma-separated.","26","20","0.77"
"Name five cities in the state of Texas.","Name five Texas cities.","9","5","0.56"
"Why is the immigration system broken?","Why is immigration system broken?","7","6","0.86"
"Which of the following are considered golf clubs: woods, irons, jellies, sliders, hybrids, wedges, driver, squeaker, putters","Which are golf clubs: woods, irons, jellies, sliders, hybrids, wedges, driver, squeaker, putters","30","26","0.87"
"What is ASEAN?","Explain ASEAN.","4","3","0.75"
"Which episode did Daenerys Targaryen lose her dragon, Viserion, to a White Walker's spear?","Which episode did Daenerys lose Viserion to a White Walker's spear?","25","17","0.68"
"Classify these countries into these continents (Asia, Africa, North America, South America, Europe, Australia/Oceania): Morocco, Vietnam, New Zealand, Chad, Afghanistan, Jordan, Lebanon, Monaco, Malta, Dominica, Paraguay","Classify these countries by continent (Asia, Africa, North America, South America, Europe, Australia/Oceania): Morocco, Vietnam, New Zealand, Chad, Afghanistan, Jordan, Lebanon, Monaco, Malta, Dominica, Paraguay","48","47","0.98"
"Please give me a list of qualities that make the Masters is golf's top tournament unique?","List qualities that make the Masters, golf's top tournament, unique.","18","14","0.78"
"What caused the 2007-2008 financial crisis?","What caused the 2007-2008 financial crisis?","12","12","1.0"
"What was the first modern trading card game created?","What was the first modern trading card game?","10","9","0.9"
"Why is it called the Hawaiian pizza?","Why is Hawaiian pizza named?","8","6","0.75"
"Who is William Crump?","Who is William Crump?","6","6","1.0"
"What are foundational models?","Explain foundational models.","5","4","0.8"
"How many keys are in a standard piano?","How many keys on a standard piano?","9","8","0.89"
"What are the Regulations of Football?","Football regulations?","7","3","0.43"
"When was the Hundred Years War and who fought in it?","When was the Hundred Years War and who fought in it?","12","12","1.0"
"Who is Tom Billeter","Who is Tom Billeter","6","6","1.0"
"Which of the following items are types of books: novels, biographies, historical fiction, reference texts, graphic novels, newspapers, magazines, flyers, pamphlets, pocket dictionaries.","Which of these are books: novels, biographies, historical fiction, reference texts, graphic novels, newspapers, magazines, flyers, pamphlets, pocket dictionaries?","35","31","0.89"
"What are some defining qualities of authoritarianism?","Defining qualities of authoritarianism?","9","7","0.78"
"What is Ayurveda?","What is Ayurveda?","4","4","1.0"
"What is skydiving?","What is skydiving?","6","6","1.0"
"What do I need to learn how to knit?","What do I need to learn to knit?","10","9","0.9"
"Write a letter to my boss that convinces them that I deserve a raise.","Write a letter to my boss convincing them I deserve a raise.","16","13","0.81"
"What is the best kind of shade tree for a backyard in growing region 6?","Best shade tree for a backyard in growing region 6?","17","12","0.71"
"What's the best country in the world?","Best country in the world?","8","6","0.75"
"In my upcoming trip across Europe I'm planning to visit the following countries: Germany, Austria, Hungary, Romania, Bulgaria and Greece. Are all of them part of the Schengen area?","Are Germany, Austria, Hungary, Romania, Bulgaria and Greece in the Schengen Area?","37","18","0.49"
"What is the oldest known civilization?","Oldest known civilization?","7","5","0.71"
"Classify each of the following as either titles by George R.R. Martin or Robert Jordan: A Game of Thrones, Dying of the Light, The Armageddon Rag, A Storm of Swords, A Song for Lya, The Great Hunt, Towers of Midnight, Lord of Chaos, A Crown of Swords, Crossroads of Twilight","Classify each of the following as either titles by George R.R. Martin or Robert Jordan: A Game of Thrones, Dying of the Light, The Armageddon Rag, A Storm of Swords, A Song for Lya, The Great Hunt, Towers of Midnight, Lord of Chaos, A Crown of Swords, Crossroads of Twilight","70","70","1.0"
"What was the first commercial relational database product launched in the market?","First commercial relational database product launched?","13","7","0.54"
"Given this article on Donkey Kong Country 2, who is the villain of the plot and where does the story take place?","From this article on Donkey Kong Country 2, who is the villain and where does it take place?","26","22","0.85"
"Who is Linda Hargreaves","Who is Linda Hargreaves","7","7","1.0"
"Make a list, using dot points, of the last five cities who hosted the Olympics.","List the last five Olympic host cities in bullet points.","18","11","0.61"
"Home many storage options does Azure Synapse provide?","Azure Synapse storage options count?","10","7","0.7"
"What qualifies an animal as a monotreme?","What criteria define a monotreme?","9","7","0.78"
"Why is November 14 celebrated as world diabetes day?","Why is Nov 14 World Diabetes Day celebrated?","11","10","0.91"
"Which is a species of fish? Mullet or Afro","Which fish species: mullet or Afro?","11","9","0.82"
"What is the difference between the Debt Snowball and Debt Avalanche methods of paying off debt?","Difference between Debt Snowball and Debt Avalanche debt-payoff methods.","18","13","0.72"
"Classify these wines in Red or White:  Chardonnay ,Cabernet Sauvignon,Moscato, Merlot, Syrah, Malbec, Pinot Noir, Riesling, Sangiovese, Sauvignon Blanc","Classify wines as Red or White: Chardonnay, Cabernet Sauvignon, Moscato, Merlot, Syrah, Malbec, Pinot Noir, Riesling, Sangiovese, Sauvignon Blanc","41","38","0.93"
"What would be a first date option in Boston?","First date option in Boston?","10","6","0.6"
"Who owns the largest share of the Vancouver Whitecaps FC?","Who owns the largest share of Vancouver Whitecaps FC?","12","11","0.92"
"What is the JDK?","What is JDK?","6","5","0.83"
"Give me the history and background of the Phoenix Suns basketball franchise","Phoenix Suns basketball franchise history and background.","12","8","0.67"
"Classify the following as either red wines or white wines: Cabernet Sauvignon, Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc, Merlot, Syrah, Shiraz","Classify red or white: Cabernet Sauvignon, Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc, Merlot, Syrah, Shiraz","39","33","0.85"
"What is The Dark Side of the Moon?","Explain The Dark Side of the Moon.","9","8","0.89"
"Give me a list of the top ten movies, according to IMDb ratings.","Top 10 IMDb-rated movies.","15","7","0.47"
"Whats the name of the person who wrote  the US declaration of independence?","Thomas Jefferson.","15","3","0.2"
"What are different tools and channels used in organizations for communication and training?","Which tools and channels do organizations use for communication and training?","14","12","0.86"
"Extract universities Moret studied at and his year of graduation for each, and put them in a bulleted list.","List each university Moret studied at with its graduation year, as bullet points.","23","16","0.7"
"How do I find my Tesla charging station?","Find my Tesla charging station.","9","6","0.67"
"Tell me whether matches in each sport is usually played individually or on a team: baseball, golf, tennis, wrestling, hockey","baseball: team golf: individual tennis: both (singles, doubles) wrestling: individual hockey: team","25","22","0.88"
"How can a balance be drawn between capitalism and economic equality?","How to balance capitalism with economic equality?","12","8","0.67"
